Symbol,Buy_price,Net_wealth,Profit_ratio,Name,Sector
MCO,193.8800048828125,58.77999877929696,30.31772090929415,Moody's Corp,Financials
MDLZ,55.709999084472656,-1.7099990844726705,-3.0694652891302536,Mondelez International,Consumer Staples
MDT,93.5,11.440002441406207,12.235296728776692,Medtronic plc,Health Care
MET,45.68000030517578,0.9699935913086009,2.1234535569797175,MetLife Inc.,Financials
MGM,27.940000534057614,0.3800010681152184,1.360061062461377,MGM Resorts International,Consumer Discretionary
MHK,138.49000549316406,2.579994201660142,1.8629461328077512,Mohawk Industries,Consumer Discretionary
MKC,158.07000732421875,2.92999267578125,1.853604441082562,McCormick & Co.,Consumer Staples
MKTX,349.42999267578125,126.0499877929688,36.07303048823412,MarketAxess,Financials
MLM,268.70999145507807,-8.139999389648494,-3.029287949275719,Martin Marietta Materials,Materials
MMC,99.9499969482422,10.890007019042983,10.895455079085426,Marsh & McLennan,Financials
MMM,173.27999877929688,-8.779998779296875,-5.066943006203374,3M Company,Industrials
MNST,58.9900016784668,19.790000915527337,33.548059590497196,Monster Beverage,Consumer Staples
MOS,25.059999465942386,-8.060000419616696,-32.16281161765618,The Mosaic Company,Materials
MO,46.36000061035156,1.1899986267089915,2.5668649936196957,Altria Group Inc,Consumer Staples
MPC,54.97999954223633,1.3899993896484553,2.52819098075954,Marathon Petroleum,Energy
MRK,80.37000274658203,-0.33998870849609375,-0.4230293603051454,Merck & Co.,Health Care
MRO,13.920000076293945,-3.729998111724858,-26.795963299433623,Marathon Oil Corp.,Energy
MSCI,237.7700042724609,19.500030517578097,8.201215530632279,MSCI Inc,Financials
MSFT,138.71000671386722,31.090011596679688,22.413676080928006,Microsoft Corp.,Information Technology
MSI,166.89999389648438,-0.1999969482421875,-0.11983041075857122,Motorola Solutions Inc.,Information Technology
MS,44.209999084472656,-0.9699974060058665,-2.194067916971631,Morgan Stanley,Financials
MTB,169.1199951171875,-23.330001831054688,-13.794939986184804,M&T Bank Corp.,Financials
MTD,775.5399780273438,130.6099853515625,16.84116732238367,Mettler Toledo,Health Care
MU,39.560001373291016,12.31000137329103,31.117292583316598,Micron Technology,Information Technology
MXIM,57.4900016784668,-9.85999679565429,-17.15080276184338,Maxim Integrated Products Inc,Information Technology
MYL,19.18000030517578,-3.1599998474121023,-16.47549424991076,Mylan N.V.,Health Care
NBL,22.040000915527344,-0.8799991607666033,-3.9927364982396045,Noble Energy Inc,Energy
NCLH,50.34000015258789,4.339999198913572,8.621373034879621,Norwegian Cruise Line Holdings,Consumer Discretionary
NDAQ,89.62999725341797,19.35000610351564,21.588761236716138,Nasdaq Inc.,Financials
NEE,236.1699981689453,-7.510009765625028,-3.179916934348582,NextEra Energy,Utilities
NEM,34.47999954223633,10.720001220703125,31.09049119206525,Newmont Corporation,Materials
NFLX,370.8500061035156,9.3800048828125,2.5293257997666725,Netflix Inc.,Communication Services
NI,28.489999771118164,-3.010002136230476,-10.565118148164663,NiSource Inc.,Utilities
NKE,85.01000213623047,1.2000122070312216,1.411612959505841,Nike Inc.,Consumer Discretionary
NLOK,22.299999237060547,-2.2599983215332102,-10.13452196795281,NortonLifeLock,Information Technology
NLSN,26.85000038146973,-7.69999885559082,-28.677835181354038,Nielsen Holdings,Industrials
NOC,283.2699890136719,37.45001220703125,13.220607074342686,Northrop Grumman,Industrials
NOV,27.76000022888184,-6.329999923706058,-22.802593197100375,National Oilwell Varco Inc.,Energy
NOW,271.22000122070307,76.2799987792969,28.124768983104854,ServiceNow,Information Technology
NRG,36.15999984741211,-2.0500030517578196,-5.669256251129475,NRG Energy,Utilities
NSC,200.33999633789062,-30.919998168945256,-15.433761971721324,Norfolk Southern Corp.,Industrials
NTAP,57.0099983215332,3.4199981689453125,5.998944517866347,NetApp,Information Technology
NTRS,95.37000274658205,-16.479980468750014,-17.280046129956347,Northern Trust Corp.,Financials
NUE,55.83000183105469,-5.220001220703118,-9.349813808889332,Nucor Corp.,Materials
NVDA,163.39999389648438,120.23999023437497,73.58628808183938,Nvidia Corporation,Information Technology
NVR,3576.280029296875,190.22021484375,5.318940722915057,NVR Inc.,Consumer Discretionary
